name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.11863081,0.10277943318731542,0.7,0.0,0.6866666666666666,0.22222222222222232,0.6866666666666666,0.303030303030303
vanilla_split1,0.12085872,0.10178249015981751,0.7133333333333334,0.0,0.7066666666666667,0.007633587786259444,0.7033333333333334,0.057251908396946494
vanilla_split2,0.11875717,0.10773436060037889,0.7166666666666667,0.0,0.7166666666666667,0.0,0.7166666666666667,0.07692307692307687
vanilla_split3,0.12132051,0.10022258889946599,0.6666666666666666,0.0,0.6666666666666666,0.0,0.67,0.003968253968253954
vanilla_split4,0.11839501,0.09439047160042502,0.7,0.0,0.68,0.18739994349750444,0.6766666666666666,0.20406817967793578
vanilla_split5,0.1208316,0.09654264919128021,0.6633333333333333,0.0,0.6633333333333333,0.0,0.6633333333333333,0.0
vanilla_split6,0.11774083,0.11052468428381129,0.7,0.0,0.6966666666666667,0.09615384615384626,0.6866666666666666,0.2450372208436724
vanilla_split7,0.12062795,0.10998301589000788,0.6966666666666667,0.0,0.6966666666666667,0.0,0.6933333333333334,0.07324867546884195
vanilla_split8,0.12078242,0.11638292451749693,0.72,0.0,0.72,0.008000000000000007,0.7233333333333334,0.10000000000000009
vanilla_split9,0.11964649,0.10216254825071312,0.72,0.0,0.7166666666666667,0.07289081885856064,0.7033333333333334,0.1802109181141438
