name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.4136763,0.011169807724197643,0.74,0.008838383838383868,0.7333333333333333,0.05555555555555558,0.7,0.14015151515151514
vanilla_split1,0.41406792,0.011439399484966898,0.7266666666666667,0.09642426677380467,0.7266666666666667,0.013258336681398086,0.6866666666666666,0.3278425070309361
vanilla_split2,0.41212752,0.012432564990549183,0.7033333333333334,0.3011786600496278,0.71,0.14019851116625293,0.7,0.27202233250620345
vanilla_split3,0.4150029,0.012148387736114059,0.6666666666666666,0.0,0.7033333333333334,0.032738095238095344,0.7033333333333334,0.10615079365079372
vanilla_split4,0.414567,0.011625060324387395,0.7433333333333333,0.16526979941614095,0.7166666666666667,0.13193332705527827,0.7,0.29475468499858737
vanilla_split5,0.41358617,0.012403206948660907,0.6866666666666666,0.04086935979210948,0.6766666666666666,0.13938105362626962,0.6633333333333333,0.2395464209780298
vanilla_split6,0.41451553,0.013263451846883312,0.7366666666666667,0.17990074441687343,0.7366666666666667,0.16563275434243163,0.7033333333333334,0.18517369727047162
vanilla_split7,0.41037002,0.012053773020173957,0.74,0.061643259608106904,0.7533333333333333,0.1358170044571525,0.7133333333333334,0.23639727525018905
vanilla_split8,0.41149622,0.012606314556591763,0.7666666666666667,0.22399999999999998,0.76,0.1120000000000001,0.7066666666666667,0.17599999999999993
vanilla_split9,0.4133434,0.012818848452348118,0.7566666666666667,0.03598014888337464,0.7366666666666667,0.0015508684863523303,0.71,0.0697890818858562
