name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.050512448,0.02086611250934605,0.6655861696380335,0.23460808174055348,0.6763911399243652,0.2930653756582674,0.6639654240950837,0.31438170069026283
vanilla_split1,0.051684774,0.02229302851176615,0.6612641815235009,0.22366288492706643,0.6699081577525662,0.24959481361426256,0.6682874122096164,0.2585089141004862
vanilla_split2,0.051704932,0.02090756712496803,0.6445164775796867,0.19238939699752164,0.662344678552134,0.262839613693865,0.668827660723933,0.2818822732829044
vanilla_split3,0.051214203,0.02167671991988175,0.6634251755807672,0.1935251458672903,0.6580226904376013,0.26728556917771007,0.6769313884386818,0.24061606784305387
vanilla_split4,0.049000748,0.02207105583189162,0.6461372231226364,0.14799673887724202,0.6569421934089681,0.1810311359577607,0.6704484062668827,0.2011646866992779
vanilla_split5,0.05101288,0.021729880085868698,0.6596434359805511,0.18140815648293213,0.6618044300378174,0.2727887765275602,0.6682874122096164,0.3003489531405783
vanilla_split6,0.049712937,0.021112606479341434,0.6504592112371691,0.21337732217901892,0.6569421934089681,0.28068418365343073,0.655861696380335,0.30347983189976824
vanilla_split7,0.04968101,0.021774732377107336,0.655861696380335,0.1999025996614179,0.6655861696380335,0.2859666210585716,0.6742301458670988,0.26978734259409565
vanilla_split8,0.05029507,0.021935694111381358,0.6266882766072394,0.16433904384838235,0.6380334954078877,0.2188310026954596,0.6342517558076716,0.2128560242100339
vanilla_split9,0.050041772,0.020948300407201005,0.6520799567801189,0.1725142114709037,0.6634251755807672,0.2848237039691973,0.6661264181523501,0.23593150031493199
