name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.016556637,0.04834804886157257,0.5877903835764452,0.16989200218198608,0.6445164775796867,0.3146819860268972,0.6580226904376013,0.33407596038856135
vanilla_split1,0.016975923,0.04883256302424471,0.5915721231766613,0.18557536466774716,0.6380334954078877,0.28119935170178284,0.6439762290653701,0.32658022690437605
vanilla_split2,0.016978579,0.048782847564198095,0.6002160994057266,0.21616267860973215,0.6461372231226364,0.2644793731441257,0.6434359805510534,0.3309303341284465
vanilla_split3,0.016664835,0.05980356004077997,0.5899513776337115,0.15911936314459169,0.6326310102647218,0.2923093882628997,0.6364127498649379,0.31172292695218073
vanilla_split4,0.0160613,0.044129259765673556,0.5759049162614803,0.18186971038124083,0.6434359805510534,0.2712788259958071,0.6493787142085359,0.2828752232316174
vanilla_split5,0.016797425,0.049875511248265725,0.5840086439762291,0.17612242637167858,0.6515397082658023,0.28229992561996553,0.6526202052944354,0.30190776875722036
vanilla_split6,0.016253442,0.0473142168837159,0.5823878984332793,0.1751266643101213,0.6196650459211237,0.2960174384352539,0.6299297676931388,0.3326970661010958
vanilla_split7,0.01636998,0.04437776336078647,0.5953538627768774,0.18021768202654542,0.646677471636953,0.28726915733246755,0.6423554835224203,0.31081530267541724
vanilla_split8,0.016563574,0.04499377346261502,0.5883306320907618,0.19819897815463094,0.6326310102647218,0.2473194003313115,0.6315505132360886,0.29636616901022617
vanilla_split9,0.016357908,0.056327701317917755,0.5850891410048622,0.1836356592620313,0.6423554835224203,0.2932333105809244,0.6493787142085359,0.32422841661681345
